"V1","V2","V3","V4","V5","V6"
"3474","地ㄈ","9576","5,093,622,000","50.00%","0.83%"
"4938","㎝河","9572","2,290,304,935","74.00%","1.02%"
"3481","竤承","9572","9,385,527,616","98.00%","1.08%"
"2330","縩筿","9576","25,753,417,412","93.00%","25.33%"
"2303","羛筿","9576","12,706,314,290","94.00%","1.33%"
"2882","瓣","8575","12,606,238,526","63.00%","2.68%"
"2357","地河","9572","752,760,280","95.00%","1.65%"
"1303","玭ㄈ","1353","7,930,821,589","72.00%","2.77%"
"2883","秨祇","8775","15,172,996,640","93.00%","1.09%"
"1301","鹅","1353","6,365,673,217","77.00%","2.68%"
"2002","い葵","1757","15,733,113,947","79.00%","2.34%"
"2311","らる","9576","7,810,454,946","79.00%","1.89%"
"2317","翬","2733","14,581,787,562","87.00%","7.75%"
"1402","环狥穝","3763","5,247,916,886","75.00%","0.91%"
"2892","材","8355","9,259,254,819","79.00%","0.97%"
"2880","地玭","8355","9,327,970,100","75.00%","0.88%"
"2801","裹蝗","8355","6,121,980,625","52.00%","0.41%"
"1216","参","3577","5,463,476,316","85.00%","1.76%"
"1101","猟","2353","3,692,175,869","87.00%","0.96%"
"1102","ㄈ猟","2353","3,360,379,285","69.00%","0.64%"
"2382","約笷","9572","3,832,574,432","69.00%","1.49%"
"2308","笷筿","2737","2,417,141,304","84.00%","2.96%"
"1326","て","1353","5,861,186,297","75.00%","2.23%"
"2886","伦","8355","12,484,346,574","80.00%","1.76%"
"2891","い獺","8355","15,257,281,448","97.00%","2.16%"
"2325","珇","9576","3,116,361,139","95.00%","1.16%"
"2105","タ穝","3357","3,241,414,671","57.00%","1.02%"
"2395","地","9572","628,272,477","54.00%","0.58%"
"2408","玭","9576","2,396,100,810","15.00%","0.20%"
"2412","い地筿","6535","7,757,446,545","49.00%","2.62%"
"2409","ね笷","9572","9,435,154,398","92.00%","1.08%"
"2207","㎝ó","5379","546,179,184","75.00%","1.40%"
"2301","腳","2733","2,330,795,827","91.00%","0.59%"
"9904","腳Θ","3765","2,941,665,922","90.00%","0.85%"
"2912","参禬","5337","1,039,622,256","54.00%","1.00%"
"2354","翬非","2737","1,357,569,968","78.00%","0.61%"
"2474","Θ","2757","750,691,371","96.00%","1.50%"
"3045","芖","6575","3,420,832,827","49.00%","1.28%"
"2454","羛祇","9576","1,569,513,598","93.00%","4.77%"
"2881","碔ü","8575","10,233,603,995","71.00%","2.77%"
"2887","穝","8355","8,650,769,077","95.00%","0.78%"
"4904","环肚","6575","3,258,500,810","49.00%","0.88%"
"2885","じ","8777","10,266,543,526","96.00%","1.09%"
"3008","ミ","3745","134,140,197","75.00%","1.94%"
"2498","Щ笷筿","9578","852,052,170","88.00%","0.79%"
"2884","ド","8355","7,039,717,360","95.00%","0.94%"
"2890","ッ伦","8355","9,247,735,728","93.00%","0.79%"
"6505","鹅て","0533","9,486,083,651","20.00%","0.94%"
"5880","畐","8355","10,172,350,486","68.00%","0.79%"
"2227","肝らó","3353","300,000,000","8.00%","0.05%"
